title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,166 ratings",
"ROTOMOON PS4 Glitter Silicone Controller Skins with 8 Thumb Grips & L2 R2 Trigger Protector, Sweat-Proof Anti-Slip Controller Cover Skin Protector Compatible with Playstation 4 Slim/Pro Controller…",,5.0 out of 5 stars,7 ratings,Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$539.00,4.2 out of 5 stars,350 ratings,Not Available
Hunting Simulator - PlayStation 4,$16.71,4.3 out of 5 stars,937 ratings,Not Available
"ADHLEK PS4 Wireless Controller for PS4/Slim/Pro,with Dual Vibration Game Joystick Remote Camo Blue",$19.99,4.2 out of 5 stars,173 ratings,Not Available
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,259 ratings",Not Available
"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop (Red)",,4.4 out of 5 stars,"8,259 ratings",Not Available
Team Sonic Racing - PlayStation 4,$27.50,4.7 out of 5 stars,"1,488 ratings",Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,860 ratings",Only 3 left in stock - order soon.
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],,4.6 out of 5 stars,711 ratings,Only 1 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,568 ratings",
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,294 ratings,Not Available
Sony Playstation PS4 1TB Black Console,$653.79,4.7 out of 5 stars,853 ratings,Not Available
PlayStation 4 Slim 1TB Gold Console [Discontinued],,4.6 out of 5 stars,707 ratings,Only 1 left in stock - order soon
Madden NFL 23 – PlayStation 4,$39.88,4.6 out of 5 stars,679 ratings,In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"140,793 ratings",Not Available
"Wireless Controller for PS-4, BRAV Gamepad Joystick for PS-4/PS-4 Slim with Enhanced Dual Vibration/Analog Sticks/6-Axis Motion Sensor-White&Black",,5.0 out of 5 stars,5 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$61.50,4.7 out of 5 stars,"140,793 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"140,793 ratings",Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,558 ratings",Not Available
NHL 23 - PlayStation 4,$59.99,4.3 out of 5 stars,26 ratings,In Stock
"PS4 Controller,Wireless Controller Compatible with PS4/Slim/Pro/PC Console Dualed Vibrations Game Joystick Touch Pad/ Built-in Speaker with Type-C Cable",,4.0 out of 5 stars,166 ratings,Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,237 ratings,Not Available
"Gaming Headset for PS4 Xbox One Headset with Stereo Surround Sound,PS4 Gaming Headset with Mic & LED Light Noise Cancelling Gaming Headphones with Microphone Compatible for PC,PS4,PS5,Xbox One",,4.2 out of 5 stars,311 ratings,Not Available
"FXH Wireless PS4 Controller for PS4/ Slim/Pro with Highly Sensitive Buttons /Dual Vibration/6-Axis Motion Sensor/Audio Jack PS4 Controller ,Compatible with Playstation-4(White)",,4.9 out of 5 stars,"1,276 ratings",Not Available
Venom Playstation 4 Twin Charge Docking Station - Red (PS4),,4.3 out of 5 stars,297 ratings,Not Available
"ROTOMOON PS4 Glitter Silicone Controller Skins with 8 Thumb Grips & L2 R2 Trigger Protector, Sweat-Proof Anti-Slip Controller Cover Skin Protector Compatible with Playstation 4 Slim/Pro Controller…",,5.0 out of 5 stars,7 ratings,Not Available
Pac-Man Championship Edition 2 + Arcade Game Series - PlayStation 4,,4.5 out of 5 stars,"3,762 ratings",
"eXtremeRate Blood Purgatory Patterned Custom Faceplate Cover, Replacement Front Housing Shell Case Compatible with ps4 Slim Pro Controller JDM-040/050/055 - Controller NOT Included",,4.2 out of 5 stars,"4,358 ratings",Not Available
Snakebyte Trigger Treadz - Original 4-Pack for (PS4) - Anti Slip Trigger Rubbers - PlayStation 4,$4.99,4.2 out of 5 stars,"3,238 ratings",Only 7 left in stock - order soon
